__run_id,__done,dataset,hardware,execution_time_(ms),peak_memory_(B),energy_consumption_(J),cpu_energy_(J),gpu_energy_(J),mean_cpu_utilization_(%),mean_gpu_utilization_(%),max_cpu_utilization_(%),max_gpu_utilization_(%)
run_0_repetition_20,DONE,GDS3900_CPM.csv,CPU,21608,3636101120,319.54138183592295,319.54138183592295,0,7.565836429866877,4.0,100.0,23
run_1_repetition_20,DONE,GDS3900_CPM.csv,GPU,2202,3398463488,84.42334117089844,37.00767517089844,47.415666,11.660689360820331,8.76923076923077,100.0,23
run_2_repetition_20,DONE,GDS3900_TPM.csv,CPU,249493,4208418816,4090.732406616218,4090.732406616218,0,7.020123905127195,3.065652522017614,100.0,29
run_3_repetition_20,DONE,GDS3900_TPM.csv,GPU,2201,3423637504,81.90479164941407,38.59791564941406,43.306876,11.579133095649572,7.6923076923076925,100.0,23
run_4_repetition_20,DONE,low_spar_TPM.csv,CPU,20109,5419454464,839.2137603759693,839.2137603759693,0,48.18746826753897,4.166666666666667,100.0,24
run_5_repetition_20,DONE,low_spar_TPM.csv,GPU,4802,3795615744,188.83188170214117,75.35581970214116,113.476062,9.238280220673634,7.6923076923076925,100.0,25
run_6_repetition_20,DONE,high_spar_TPM.csv,CPU,19898,5458354176,830.1939849853516,830.1939849853516,0,48.42383076589887,4.257425742574258,100.0,26
run_7_repetition_20,DONE,high_spar_TPM.csv,GPU,4803,3795992576,190.71366658789063,75.85952758789062,114.854139,9.302958119374054,7.423076923076923,100.0,23
run_8_repetition_20,DONE,high_spar_CPM.csv,CPU,19896,5410648064,823.8203125,823.8203125,0,48.29849891217039,4.376237623762377,100.0,31
run_9_repetition_20,DONE,high_spar_CPM.csv,GPU,4802,3901501440,189.65957142578122,75.34796142578125,114.31160999999999,9.181668660961664,7.5,100.0,23
run_10_repetition_20,DONE,low_spar_CPM.csv,CPU,20104,5440430080,830.2390611669995,826.5198211669995,3.7192399999999997,48.04128661225824,4.078431372549019,100.0,24
run_11_repetition_20,DONE,low_spar_CPM.csv,GPU,4802,3864625152,188.69743929102287,74.2513732910229,114.44606599999999,9.203399096543972,8.76923076923077,100.0,30
run_0_repetition_21,DONE,GDS3900_CPM.csv,CPU,22009,3902128128,361.5257568359375,361.5257568359375,0,8.489521868260843,4.741071428571429,100.0,22
run_1_repetition_21,DONE,GDS3900_CPM.csv,GPU,2202,3613257728,83.99344395996091,39.11668395996091,44.876760000000004,11.596405430481983,13.615384615384615,100.0,25
run_2_repetition_21,DONE,GDS3900_TPM.csv,CPU,254093,4363554816,4432.240783691406,4432.240783691406,0,7.035277263606963,2.3773584905660377,100.0,25
run_3_repetition_21,DONE,GDS3900_TPM.csv,GPU,2201,3642707968,85.97605795507812,37.655303955078125,48.320754,11.638729634193275,7.076923076923077,100.0,21
run_4_repetition_21,DONE,low_spar_TPM.csv,CPU,20102,5599473664,836.3121337890625,836.3121337890625,0,49.087975780169174,3.323529411764706,100.0,24
run_5_repetition_21,DONE,low_spar_TPM.csv,GPU,4802,4074483712,193.54748623046873,75.65838623046875,117.8891,9.160681404746494,7.461538461538462,100.0,24
run_6_repetition_21,DONE,high_spar_TPM.csv,CPU,19889,5634347008,827.1514700283203,825.7791290283203,1.372341,48.30005612703833,3.4356435643564356,100.0,25
run_7_repetition_21,DONE,high_spar_TPM.csv,GPU,4802,4082372608,190.50713723242006,74.12106323242006,116.386074,9.09943712158845,7.423076923076923,100.0,24
run_8_repetition_21,DONE,high_spar_CPM.csv,CPU,19899,5582630912,819.9665463574219,818.0761413574219,1.8904050000000003,47.547470355092884,3.3564356435643563,100.0,24
run_9_repetition_21,DONE,high_spar_CPM.csv,GPU,4603,4015345664,182.85595864257812,73.18948364257812,109.66647499999999,9.356984863281248,7.68,100.0,23
run_10_repetition_21,DONE,low_spar_CPM.csv,CPU,20084,5671579648,832.6205444335938,832.6205444335938,0,48.233345442835024,3.107843137254902,100.0,23
run_11_repetition_21,DONE,low_spar_CPM.csv,GPU,4803,4092973056,188.20509762304687,74.35958862304688,113.845509,9.054967818351892,7.5,100.0,23
run_0_repetition_22,DONE,GDS3900_CPM.csv,CPU,21608,3850862592,319.0813446044922,319.0813446044922,0,7.469035349108958,3.0636363636363635,100.0,24
run_1_repetition_22,DONE,GDS3900_CPM.csv,GPU,2202,3625074688,85.58050855175782,37.66719055175781,47.913318000000004,11.81856644153595,8.615384615384615,100.0,28
run_2_repetition_22,DONE,GDS3900_TPM.csv,CPU,246493,4425523200,4233.668930053711,4233.668930053711,0,6.965460640346598,2.1636952998379253,100.0,23
run_3_repetition_22,DONE,GDS3900_TPM.csv,GPU,2201,3650949120,82.54435567675782,38.38789367675781,44.156462,11.859551787376404,8.0,100.0,24
run_4_repetition_22,DONE,low_spar_TPM.csv,CPU,20306,5575925760,834.0033874511719,834.0033874511719,0,47.628598167479616,3.1553398058252426,100.0,23
run_5_repetition_22,DONE,low_spar_TPM.csv,GPU,4802,4069543936,192.45718962109373,77.02191162109375,115.435278,9.332461461424828,7.153846153846154,100.0,23
run_6_repetition_22,DONE,high_spar_TPM.csv,CPU,20103,5610491904,828.8603433798828,828.4984893798828,0.36185400000000006,47.41633485462151,3.1470588235294117,100.0,24
run_7_repetition_22,DONE,high_spar_TPM.csv,GPU,4803,4079579136,189.02981834179323,75.89035034179324,113.139468,9.287249860855248,7.461538461538462,100.0,24
run_8_repetition_22,DONE,high_spar_CPM.csv,CPU,19906,5680349184,825.533203125,825.533203125,0,48.211153713193276,3.1683168316831685,100.0,24
run_9_repetition_22,DONE,high_spar_CPM.csv,GPU,4802,4046925824,191.45371315234374,74.44818115234375,117.00553199999999,9.036374371785385,6.961538461538462,100.0,23
run_10_repetition_22,DONE,low_spar_CPM.csv,CPU,20105,5690011648,827.3493804931641,827.3493804931641,0,48.08998465947076,3.2058823529411766,100.0,24
run_11_repetition_22,DONE,low_spar_CPM.csv,GPU,4802,4072972288,191.3724078945276,74.76544189452761,116.60696599999999,9.431784595434483,7.3076923076923075,100.0,25
run_0_repetition_23,DONE,GDS3900_CPM.csv,CPU,21609,3883442176,320.42234802246094,320.42234802246094,0,7.54720219373703,3.0727272727272728,100.0,23
run_1_repetition_23,DONE,GDS3900_CPM.csv,GPU,2201,3665817600,82.54166096582395,36.87971496582395,45.66194600000001,11.302057603230843,8.384615384615385,100.0,22
run_2_repetition_23,DONE,GDS3900_TPM.csv,CPU,246291,4455071744,4255.557726437496,4192.014648437496,63.543078,6.985585865204351,2.1824817518248176,100.0,25
run_3_repetition_23,DONE,GDS3900_TPM.csv,GPU,2201,3668242432,84.44126929003178,37.62159729003179,46.819672,11.55993310534037,6.846153846153846,100.0,22
run_4_repetition_23,DONE,low_spar_TPM.csv,CPU,20690,5700136960,1383.3024219287108,892.3701019287109,490.93232,48.96413971554665,10.17142857142857,100.0,37
run_5_repetition_23,DONE,low_spar_TPM.csv,GPU,4802,4286734336,194.6428057363281,80.77297973632812,113.86982599999999,10.469697934503738,7.730769230769231,100.0,23
run_6_repetition_23,DONE,high_spar_TPM.csv,CPU,19900,5854883840,831.0330963134766,831.0330963134766,0,48.401836816037054,3.386138613861386,100.0,25
run_7_repetition_23,DONE,high_spar_TPM.csv,GPU,4803,4230451200,189.75717981054686,75.16720581054688,114.589974,9.188856828671234,6.8076923076923075,100.0,22
run_8_repetition_23,DONE,high_spar_CPM.csv,CPU,20093,5840752640,834.8079986572193,834.8079986572193,0,48.31469457523496,3.303921568627451,100.0,24
run_9_repetition_23,DONE,high_spar_CPM.csv,GPU,4803,4280152064,189.68642602539063,75.01480102539062,114.671625,9.089757202909542,7.230769230769231,100.0,23
run_10_repetition_23,DONE,low_spar_CPM.csv,CPU,20285,5860028416,861.1526140087891,856.7304840087891,4.42213,48.756092693620516,6.223300970873787,100.0,24
run_11_repetition_23,DONE,low_spar_CPM.csv,GPU,4803,4497707008,189.48285021777343,77.04942321777344,112.433427,9.159475191281391,7.115384615384615,100.0,23
run_0_repetition_24,DONE,GDS3900_CPM.csv,CPU,21809,4301606912,325.31407165527344,325.31407165527344,0,7.591644692259866,3.171171171171171,100.0,24
run_1_repetition_24,DONE,GDS3900_CPM.csv,GPU,2201,4040478720,82.43912620117189,36.999481201171875,45.439645000000006,11.520612693749943,7.846153846153846,100.0,22
run_2_repetition_24,DONE,GDS3900_TPM.csv,CPU,244495,4826505216,4314.260238647461,4314.260238647461,0,7.0305394893573006,2.177287581699346,100.0,30
